epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
69,42.2693,0.89422,1.81332,1.06781,0.07556,0.48077,0.27362,0.11868,1.53626,3.34296,1.26721,0.000317558,0.000317558,0.000317558
70,42.6186,1.02967,1.3785,1.22475,0.07556,0.48077,0.27362,0.11868,1.53626,3.34296,1.26721,0.000312467,0.000312467,0.000312467
71,43.0449,1.2366,2.16287,1.01676,0.07556,0.48077,0.27362,0.11868,1.53626,3.34296,1.26721,0.000307092,0.000307092,0.000307092
72,43.4094,0.80986,1.34959,1.08538,0.07462,0.48077,0.27602,0.12719,1.52954,3.32781,1.26183,0.000301435,0.000301435,0.000301435
73,43.7526,1.01285,1.325,1.01764,0.07462,0.48077,0.27602,0.12719,1.52954,3.32781,1.26183,0.000295494,0.000295494,0.000295494
74,44.1111,0.96786,1.17574,1.18263,0.07462,0.48077,0.27602,0.12719,1.52954,3.32781,1.26183,0.000289271,0.000289271,0.000289271
75,44.4975,1.11854,1.81882,0.99713,0.08229,0.51923,0.27318,0.12933,1.49974,3.32556,1.25151,0.000282765,0.000282765,0.000282765
76,44.8675,1.03042,1.77524,0.98531,0.08229,0.51923,0.27318,0.12933,1.49974,3.32556,1.25151,0.000275976,0.000275976,0.000275976
77,45.2183,0.81393,1.0794,1.07618,0.08229,0.51923,0.27318,0.12933,1.49974,3.32556,1.25151,0.000268904,0.000268904,0.000268904
78,45.5902,1.16015,1.99051,1.05927,0.08159,0.5,0.2386,0.13176,1.47046,3.32047,1.24205,0.000261548,0.000261548,0.000261548
79,45.939,1.07149,1.20894,1.03407,0.08159,0.5,0.2386,0.13176,1.47046,3.32047,1.24205,0.00025391,0.00025391,0.00025391
80,46.2794,0.83929,1.24566,1.00455,0.08159,0.5,0.2386,0.13176,1.47046,3.32047,1.24205,0.000245989,0.000245989,0.000245989
81,46.7614,1.02288,1.61134,1.01785,0.08045,0.5,0.24261,0.12911,1.43966,3.3048,1.22869,0.000237786,0.000237786,0.000237786
82,47.1061,0.97354,1.21137,1.01449,0.08045,0.5,0.24261,0.12911,1.43966,3.3048,1.22869,0.000229299,0.000229299,0.000229299
83,47.457,0.87765,1.41652,1.09776,0.08045,0.5,0.24261,0.12911,1.43966,3.3048,1.22869,0.000220529,0.000220529,0.000220529
84,47.8203,0.90797,1.25984,0.95328,0.07983,0.5,0.24677,0.13849,1.40815,3.29903,1.2215,0.000211476,0.000211476,0.000211476
85,48.1868,0.96915,1.48797,1.10944,0.07983,0.5,0.24677,0.13849,1.40815,3.29903,1.2215,0.000202141,0.000202141,0.000202141
86,48.5498,0.93371,1.19476,0.97541,0.07983,0.5,0.24677,0.13849,1.40815,3.29903,1.2215,0.000192522,0.000192522,0.000192522
87,48.9016,0.85526,1.48704,1.07177,0.07983,0.5,0.24677,0.13849,1.40815,3.29903,1.2215,0.00018262,0.00018262,0.00018262
88,49.2788,0.88463,1.24645,1.09173,0.07828,0.5,0.25655,0.14671,1.39663,3.27802,1.22417,0.000172436,0.000172436,0.000172436
89,49.6282,0.8564,1.07549,0.96787,0.07828,0.5,0.25655,0.14671,1.39663,3.27802,1.22417,0.000161969,0.000161969,0.000161969
90,49.9954,0.90598,1.18346,1.02103,0.07828,0.5,0.25655,0.14671,1.39663,3.27802,1.22417,0.000151218,0.000151218,0.000151218
91,77.7144,0.74233,1.13981,1.08495,0.07828,0.5,0.25655,0.14671,1.39663,3.27802,1.22417,0.000140185,0.000140185,0.000140185
92,78.1343,1.19313,1.23952,1.12801,0.08268,0.53846,0.25706,0.15204,1.33493,3.26468,1.20737,0.000128869,0.000128869,0.000128869
93,78.6131,0.75065,1.08311,1.0839,0.08268,0.53846,0.25706,0.15204,1.33493,3.26468,1.20737,0.000117269,0.000117269,0.000117269
94,78.9563,0.90866,1.07179,1.05404,0.08268,0.53846,0.25706,0.15204,1.33493,3.26468,1.20737,0.000105387,0.000105387,0.000105387
95,79.3052,0.68514,0.95721,1.00558,0.08268,0.53846,0.25706,0.15204,1.33493,3.26468,1.20737,9.32222e-05,9.32222e-05,9.32222e-05
96,79.681,1.20193,1.24846,1.14251,0.6632,0.19231,0.25708,0.16076,1.29373,3.24131,1.20408,8.07742e-05,8.07742e-05,8.07742e-05
97,80.015,1.04477,1.23774,1.10158,0.6632,0.19231,0.25708,0.16076,1.29373,3.24131,1.20408,6.80433e-05,6.80433e-05,6.80433e-05
98,80.3686,0.95693,1.10136,0.90545,0.6632,0.19231,0.25708,0.16076,1.29373,3.24131,1.20408,5.50294e-05,5.50294e-05,5.50294e-05
99,80.7083,0.83418,0.97606,0.98349,0.6632,0.19231,0.25708,0.16076,1.29373,3.24131,1.20408,4.17325e-05,4.17325e-05,4.17325e-05
100,81.0674,0.71526,0.97753,1.05885,0.63874,0.23077,0.29194,0.17667,1.28938,3.20747,1.21878,2.81527e-05,2.81527e-05,2.81527e-05
